Date: 2020-11-21 07:27:15s, Time_Cost: 0s, Epoch: [111/0], Train_PSNR: 24.01, Val_PSNR: 0.00, Val_SSIM: 0.0000
Date: 2020-11-21 07:37:01s, Time_Cost: 0s, Epoch: [112/0], Train_PSNR: 24.21, Val_PSNR: 0.00, Val_SSIM: 0.0000
Date: 2020-11-21 07:42:03s, Time_Cost: 0s, Epoch: [113/0], Train_PSNR: 24.14, Val_PSNR: 0.00, Val_SSIM: 0.0000
Date: 2020-11-21 07:47:05s, Time_Cost: 0s, Epoch: [114/0], Train_PSNR: 24.11, Val_PSNR: 0.00, Val_SSIM: 0.0000
Date: 2020-11-21 07:52:08s, Time_Cost: 0s, Epoch: [115/0], Train_PSNR: 24.38, Val_PSNR: 0.00, Val_SSIM: 0.0000
Date: 2020-11-21 07:57:10s, Time_Cost: 0s, Epoch: [116/0], Train_PSNR: 24.11, Val_PSNR: 0.00, Val_SSIM: 0.0000
Date: 2020-11-21 08:06:56s, Time_Cost: 0s, Epoch: [117/0], Train_PSNR: 24.10, Val_PSNR: 0.00, Val_SSIM: 0.0000
Date: 2020-11-21 08:11:58s, Time_Cost: 0s, Epoch: [118/0], Train_PSNR: 24.49, Val_PSNR: 0.00, Val_SSIM: 0.0000
Date: 2020-11-21 08:17:02s, Time_Cost: 0s, Epoch: [119/0], Train_PSNR: 24.16, Val_PSNR: 0.00, Val_SSIM: 0.0000
Date: 2020-11-21 08:22:03s, Time_Cost: 0s, Epoch: [120/0], Train_PSNR: 24.27, Val_PSNR: 0.00, Val_SSIM: 0.0000
Date: 2020-11-21 08:27:06s, Time_Cost: 0s, Epoch: [121/0], Train_PSNR: 24.52, Val_PSNR: 0.00, Val_SSIM: 0.0000
Date: 2020-11-21 08:36:52s, Time_Cost: 0s, Epoch: [122/0], Train_PSNR: 24.12, Val_PSNR: 0.00, Val_SSIM: 0.0000
Date: 2020-11-21 08:41:55s, Time_Cost: 0s, Epoch: [123/0], Train_PSNR: 24.17, Val_PSNR: 0.00, Val_SSIM: 0.0000
Date: 2020-11-21 08:46:57s, Time_Cost: 0s, Epoch: [124/0], Train_PSNR: 24.22, Val_PSNR: 0.00, Val_SSIM: 0.0000
Date: 2020-11-21 08:52:01s, Time_Cost: 0s, Epoch: [125/0], Train_PSNR: 24.26, Val_PSNR: 0.00, Val_SSIM: 0.0000
Date: 2020-11-21 08:57:03s, Time_Cost: 0s, Epoch: [126/0], Train_PSNR: 24.40, Val_PSNR: 0.00, Val_SSIM: 0.0000
Date: 2020-11-21 09:06:46s, Time_Cost: 0s, Epoch: [127/0], Train_PSNR: 24.41, Val_PSNR: 0.00, Val_SSIM: 0.0000
Date: 2020-11-21 09:11:46s, Time_Cost: 0s, Epoch: [128/0], Train_PSNR: 24.45, Val_PSNR: 0.00, Val_SSIM: 0.0000
Date: 2020-11-21 09:16:47s, Time_Cost: 0s, Epoch: [129/0], Train_PSNR: 24.18, Val_PSNR: 0.00, Val_SSIM: 0.0000
Date: 2020-11-21 09:21:49s, Time_Cost: 0s, Epoch: [130/0], Train_PSNR: 24.07, Val_PSNR: 0.00, Val_SSIM: 0.0000
Date: 2020-11-21 09:26:49s, Time_Cost: 0s, Epoch: [131/0], Train_PSNR: 24.74, Val_PSNR: 0.00, Val_SSIM: 0.0000
Date: 2020-11-21 09:36:22s, Time_Cost: 0s, Epoch: [132/0], Train_PSNR: 24.30, Val_PSNR: 0.00, Val_SSIM: 0.0000
Date: 2020-11-21 09:41:18s, Time_Cost: 0s, Epoch: [133/0], Train_PSNR: 24.32, Val_PSNR: 0.00, Val_SSIM: 0.0000
Date: 2020-11-21 09:46:15s, Time_Cost: 0s, Epoch: [134/0], Train_PSNR: 24.25, Val_PSNR: 0.00, Val_SSIM: 0.0000
Date: 2020-11-21 09:51:12s, Time_Cost: 0s, Epoch: [135/0], Train_PSNR: 24.22, Val_PSNR: 0.00, Val_SSIM: 0.0000
Date: 2020-11-21 09:56:07s, Time_Cost: 0s, Epoch: [136/0], Train_PSNR: 24.31, Val_PSNR: 0.00, Val_SSIM: 0.0000
Date: 2020-11-21 10:05:36s, Time_Cost: 0s, Epoch: [137/0], Train_PSNR: 24.44, Val_PSNR: 0.00, Val_SSIM: 0.0000
Date: 2020-11-21 10:10:33s, Time_Cost: 0s, Epoch: [138/0], Train_PSNR: 24.38, Val_PSNR: 0.00, Val_SSIM: 0.0000
Date: 2020-11-21 10:15:28s, Time_Cost: 0s, Epoch: [139/0], Train_PSNR: 24.42, Val_PSNR: 0.00, Val_SSIM: 0.0000
Date: 2020-11-21 10:20:25s, Time_Cost: 0s, Epoch: [140/0], Train_PSNR: 24.60, Val_PSNR: 0.00, Val_SSIM: 0.0000
Date: 2020-11-21 10:25:20s, Time_Cost: 0s, Epoch: [141/0], Train_PSNR: 24.30, Val_PSNR: 0.00, Val_SSIM: 0.0000
Date: 2020-11-21 10:34:49s, Time_Cost: 0s, Epoch: [142/0], Train_PSNR: 24.45, Val_PSNR: 0.00, Val_SSIM: 0.0000
Date: 2020-11-21 10:39:45s, Time_Cost: 0s, Epoch: [143/0], Train_PSNR: 24.64, Val_PSNR: 0.00, Val_SSIM: 0.0000
Date: 2020-11-21 10:44:40s, Time_Cost: 0s, Epoch: [144/0], Train_PSNR: 24.49, Val_PSNR: 0.00, Val_SSIM: 0.0000
Date: 2020-11-21 10:49:35s, Time_Cost: 0s, Epoch: [145/0], Train_PSNR: 24.73, Val_PSNR: 0.00, Val_SSIM: 0.0000
Date: 2020-11-21 10:54:31s, Time_Cost: 0s, Epoch: [146/0], Train_PSNR: 24.49, Val_PSNR: 0.00, Val_SSIM: 0.0000
Date: 2020-11-21 11:04:01s, Time_Cost: 0s, Epoch: [147/0], Train_PSNR: 24.69, Val_PSNR: 0.00, Val_SSIM: 0.0000
Date: 2020-11-21 11:08:57s, Time_Cost: 0s, Epoch: [148/0], Train_PSNR: 24.37, Val_PSNR: 0.00, Val_SSIM: 0.0000
Date: 2020-11-21 11:13:52s, Time_Cost: 0s, Epoch: [149/0], Train_PSNR: 24.58, Val_PSNR: 0.00, Val_SSIM: 0.0000
Date: 2020-11-21 11:18:49s, Time_Cost: 0s, Epoch: [150/0], Train_PSNR: 24.50, Val_PSNR: 0.00, Val_SSIM: 0.0000
Date: 2020-11-21 11:23:45s, Time_Cost: 0s, Epoch: [151/0], Train_PSNR: 24.55, Val_PSNR: 0.00, Val_SSIM: 0.0000
Date: 2020-11-21 11:33:15s, Time_Cost: 0s, Epoch: [152/0], Train_PSNR: 24.42, Val_PSNR: 0.00, Val_SSIM: 0.0000
Date: 2020-11-21 11:38:13s, Time_Cost: 0s, Epoch: [153/0], Train_PSNR: 24.78, Val_PSNR: 0.00, Val_SSIM: 0.0000
Date: 2020-11-21 11:43:10s, Time_Cost: 0s, Epoch: [154/0], Train_PSNR: 24.40, Val_PSNR: 0.00, Val_SSIM: 0.0000
Date: 2020-11-21 11:48:07s, Time_Cost: 0s, Epoch: [155/0], Train_PSNR: 24.65, Val_PSNR: 0.00, Val_SSIM: 0.0000
Date: 2020-11-21 11:53:03s, Time_Cost: 0s, Epoch: [156/0], Train_PSNR: 24.61, Val_PSNR: 0.00, Val_SSIM: 0.0000
